File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0\js\jquery.apiscol.js,439,416,256,49,17,1,6,22,0,0
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0\js\vcard.compressed.js,7,1,61,1,1,0,5,24,5,24
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0\js\jquery-ui.apiscol_mode_base.js,81,78,31,1,3,0,0,0,0,0
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0\js\jquery-ui.apiscol_mode_full.js,378,342,128,16,26,0,10,31,0,0
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0\js\jquery-ui.apiscol_mode_all.js,642,618,249,38,17,0,7,25,0,0
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0\js\jquery.ui.combobox.js,158,140,49,10,7,0,11,35,1,3
