Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,1705,1595,774,115,71,1,39,137,6,27
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0,6,1705,1595,774,115,71,1,39,137,6,27
Z:\home\joachim\workspace_scoladoc\ApiScol_Display\apiscol.0.0.0\js,6,1705,1595,774,115,71,1,39,137,6,27
